cargo,id_ubicacion,clase_ubicacion,descripcion_ubicacion,cant_votos_positivos,cant_votos_negativos,porcentaje_participacion,porcentaje_mesas_procesadas,cant_votantes,hora_proceso,clase_candidatura,id_candidatura,descripcion_candidatura,cant_votos
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,1.2480,YURY CRISTHIAN SABAS GUTIERREZ,31608
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,1.2481,ERNESTO SALOMON LEZAMA DAVILA,29509
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,1.2482,CARLOS LENIN MARTINEZ SANDOVAL,18930
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,1.2483,ALEX REMBERTO ORDOÑEZ ORDOÑEZ,25882
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,1.2484,MENFFIS SAMANTHA VALLADARES SANCHEZ,20297
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,1.2485,SUANY BETZABE AMADOR BONILLA,16752
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,1.2486,SANDRA RAQUEL ROJAS AVILA,16467
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,1.2487,MARLON FERNANDO SORIANO RODRIGUEZ,14813
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,1.2488,AMILCAR REINALDO RIVAS,15214
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,10.2426,HECTOR ENRRIQUE PADILLA HERNANDEZ,1169
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,10.2427,VILMA ALEJANDRA ALBERTO ORDOÑEZ,544
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,10.2428,CARLOS ARIEL RODAS,483
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,10.2429,DUBIS YOHANA CANALES ELVIR,435
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,10.2430,JOSE ALEX ALVAREZ CANALES,380
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,10.2431,VIRGINIA YARETH GONZALES GOMEZ,478
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,10.2432,ORLIN JAVIER BAQUEDANO CHAVARRIA,481
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,10.2433,TARY DANIELA REYES ORTIZ,571
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,10.2434,WILL RENAN BETANCOURTH TERCERO,408
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,11.2408,SARA SOFIA FERGUSON RODRIGUEZ,1142
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,11.2409,DANIEL ISAIAS RODAS,468
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,11.2410,MEIBELLYN JULISSA DOMINGUEZ MANZANARES,298
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,11.2411,LEONARDO GABRIEL PINEDA,482
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,11.2412,BETHY EMERITA RIVAS PINEDA,502
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,11.2413,AVILIO ANTONIO CARRASCO NUÑEZ,388
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,11.2414,YENNIFER ALEJANDRA HERRERA ESPINOZA,352
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,11.2415,MIGUEL BALLARDO BARAHONA HERNANDEZ,139
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,11.2416,EBLIN ONELYS GALLARDO LAGOS,181
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,12.2444,HENRRY VICENTE OSORTO CANALES,6854
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,12.2445,MARIA ESTER GUILLEN CASCO,5785
DIP,HN.6,Distrito,CHOLUTECA,1018755,5368,74.7302,72.6926,1024123,2021-12-04 21:45:02,Candidato,12.2446,DAVID ARMANDO REYES OSORTO,9320
