cargo,id_ubicacion,clase_ubicacion,descripcion_ubicacion,cant_votos_positivos,cant_votos_negativos,porcentaje_participacion,porcentaje_mesas_procesadas,cant_votantes,hora_proceso,clase_candidatura,id_candidatura,descripcion_candidatura,cant_votos
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Lista,1,PARTIDO LIBERAL DE HONDURAS,41888
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Lista,10,PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO,417
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Lista,11,PARTIDO NUEVA RUTA DE HONDURAS,998
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Lista,13,PARTIDO LIBERACION DEMOCRATICO DE HONDURAS,235
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Lista,14,PARTIDO TODOS SOMOS HONDURAS,800
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Lista,2,PARTIDO NACIONAL DE HONDURAS,203400
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Lista,4,PARTIDO DEMOCRATA CRISTIANO DE HONDURAS,1576
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Lista,45,MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA,334
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Lista,47,MILTON BENITEZ HONDURAS HUMANA,1850
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Lista,5,PARTIDO UNIFICACION DEMOCRATICA,1026
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Lista,58,UNIDAD NACIONAL OPOSITORA DE HONDURAS,644
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Lista,6,PARTIDO ANTICORRUPCION,427
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Lista,7,PARTIDO LIBERTAD Y REFUNDACION,255032
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Lista,8,PARTIDO ALIANZA PATRIOTICA HONDUREÑA,1508
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Lista,9,PARTIDO FRENTE AMPLIO (EL FRENTE),581
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Blanco,BLC,Voto en BLANCO,6497
PRE,HN.8,Distrito,FRANCISCO MORAZAN,517213,22432,72.3735,78.1752,539645,2021-12-04 22:45:01,Especial,NUL,Votos NULOS,22432
