cargo,id_ubicacion,clase_ubicacion,descripcion_ubicacion,cant_votos_positivos,cant_votos_negativos,porcentaje_participacion,porcentaje_mesas_procesadas,cant_votantes,hora_proceso,clase_candidatura,id_candidatura,descripcion_candidatura,cant_votos
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2040,KATHIA MARCELA CRIVELLI RAMIREZ,5
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2041,SUYAPA MELISSA MEJIA MENENDEZ,6
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2042,HARRY STEPHEN PANTING ZELAYA,6
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2043,CLAUDIA IVETH AMAYA MARTEL,6
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2044,ANGEL EDUARDO RAMOS SALINAS,5
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2045,ELISA MARGARITA GOMEZ CASTRO,6
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2046,MARLON GUILLERMO LARA ORELLANA,6
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2047,JUAN CARLOS AVILA PACHECO,5
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2048,AGUSTIN GUERRERO BERNARDEZ,5
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2049,SEBASTIANA ARRIOLA GUITY,4
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2050,GLORIA CAROLINA MILIAN VELASQUEZ,4
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2051,ETNY SIMEI UYOA MARTINEZ,4
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2052,ANA ROSA CARTAGENA CABRERA,4
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2053,MOISES CANELAS WITHOL,5
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2054,JOHNY ARMANDO ORTIZ ROSA,4
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2055,RAFAEL TADEO NODARSE BANEGAS,5
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2056,SANDRA TATIANA HERNANDEZ CUEVAS,5
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2057,JACOBO ROBERTO SANCHEZ MARTINEZ,4
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2058,SOFIA MICHELLE CANAHUATI MEJIA,4
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,1.2059,PEDRO LUIS GARCIA CANACA,5
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1900,NALDY AMALIA COTO PINEL,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1901,GERMAN MARTINEZ TINOCO,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1902,SANDRA LIZETH RIVAS MEJIA,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1903,CRISTOBAL ROLANDO MEJIA VILLAFRANCA,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1904,ASTRID JULIETH HERNANDEZ GARCIA,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1905,ANGEL FRANCISCO LEIVA FLORES,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1906,DUNIA DANIELA MORALES PERALTA,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1907,DILIO OSMAN BAIDE LOPEZ,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1908,ELBA LICETH HERNANDEZ PAVON,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1909,CARLOS ALBERTO ESTRADA GOMEZ,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1910,DANIA YAMILET MEMBREÑO AYALA,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1911,PEDRO ANTONIO ESPINAL GOMEZ,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1912,LILIAM CAROLINA ARAGON AGUILAR,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1913,RENIERY AUGUSTO JIMENEZ DUBON,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1914,SENIA MARILYN VILLANUEVA CARBAJAL,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1915,JOSE WILFREDO DIAZ FLORES,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1916,IRIS JANNETH FABIAN ANDINO,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1917,CRISTHIAN ANDRES HERNANDEZ BANEGAS,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1918,DELMIS MEJIA RIOS,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,10.1919,JOSE EDUARDO COTO BARNICA,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1860,YERSI PATRICIA KNIGHT GONZALEZ,1
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1861,JOSE MANUEL ALFARO,1
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1862,ERIKA ROXANA RAMOS CABALLERO,6
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1863,JESUS VELEZ BANEGAS,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1864,MAURA ESTHER ZELAYA LOPEZ,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1865,NERY ISAC RODRIGUEZ ALFARO,1
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1866,SILVIA JOHANA CHINCHILLA DIAZ,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1867,RICARDO GONZALES OVIEDO,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1868,LILIAN FILOMENA RIVERA GUZMAN,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1869,CESAR AUGUSTO LOPEZ MELGAR,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1870,MATUSALA BAUTISTA ORELLANA DELGADO,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1871,DARLAN ANAEL GOMEZ MARTINEZ,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1872,ELSA MIRELLA VALENZUELA FERNANDEZ,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1873,CRUZ ALBERTO RODRIGUEZ MARADIAGA,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1874,DIANNY PATRICIA ANARIBA,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1875,ESLANDIER PERDOMO VILLANUEVA,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1876,WALDINA WALKIRIA PALACIOS RODRIGUEZ,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1877,EDUARDO MALDONADO ERNANDES,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1878,DINA MAGDIEL ROSALES MEJIA,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,11.1879,EDER IVAN RODRIGUEZ OLIVA,0
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,12.1940,LUIS ROLANDO REDONDO GUIFARRO,10
DIP,HN.5.1.1.257.4546_DIP,Mesa,4546_DIP,2540,6,52,100.0,2546,2021-11-29 14:15:01,Candidato,12.1941,FATIMA PATRICIA MENA BAIDE,10
