cargo,id_ubicacion,clase_ubicacion,descripcion_ubicacion,cant_votos_positivos,cant_votos_negativos,porcentaje_participacion,porcentaje_mesas_procesadas,cant_votantes,hora_proceso,clase_candidatura,id_candidatura,descripcion_candidatura,cant_votos
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2040,KATHIA MARCELA CRIVELLI RAMIREZ,11
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2041,SUYAPA MELISSA MEJIA MENENDEZ,7
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2042,HARRY STEPHEN PANTING ZELAYA,5
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2043,CLAUDIA IVETH AMAYA MARTEL,8
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2044,ANGEL EDUARDO RAMOS SALINAS,5
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2045,ELISA MARGARITA GOMEZ CASTRO,5
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2046,MARLON GUILLERMO LARA ORELLANA,10
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2047,JUAN CARLOS AVILA PACHECO,4
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2048,AGUSTIN GUERRERO BERNARDEZ,5
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2049,SEBASTIANA ARRIOLA GUITY,5
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2050,GLORIA CAROLINA MILIAN VELASQUEZ,6
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2051,ETNY SIMEI UYOA MARTINEZ,8
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2052,ANA ROSA CARTAGENA CABRERA,6
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2053,MOISES CANELAS WITHOL,10
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2054,JOHNY ARMANDO ORTIZ ROSA,6
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2055,RAFAEL TADEO NODARSE BANEGAS,9
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2056,SANDRA TATIANA HERNANDEZ CUEVAS,6
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2057,JACOBO ROBERTO SANCHEZ MARTINEZ,5
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2058,SOFIA MICHELLE CANAHUATI MEJIA,6
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,1.2059,PEDRO LUIS GARCIA CANACA,6
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,10.1900,NALDY AMALIA COTO PINEL,4
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,10.1901,GERMAN MARTINEZ TINOCO,3
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,10.1902,SANDRA LIZETH RIVAS MEJIA,4
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,10.1903,CRISTOBAL ROLANDO MEJIA VILLAFRANCA,3
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,10.1904,ASTRID JULIETH HERNANDEZ GARCIA,3
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,10.1905,ANGEL FRANCISCO LEIVA FLORES,4
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,10.1906,DUNIA DANIELA MORALES PERALTA,3
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,10.1907,DILIO OSMAN BAIDE LOPEZ,3
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,10.1908,ELBA LICETH HERNANDEZ PAVON,4
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,10.1909,CARLOS ALBERTO ESTRADA GOMEZ,7
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,10.1910,DANIA YAMILET MEMBREÑO AYALA,5
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,10.1911,PEDRO ANTONIO ESPINAL GOMEZ,16
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,10.1912,LILIAM CAROLINA ARAGON AGUILAR,4
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,10.1913,RENIERY AUGUSTO JIMENEZ DUBON,4
DIP,HN.5.1.1.47.3670_DIP,Mesa,3670_DIP,3679,8,73.0103,100.0,3687,2021-11-29 14:15:01,Candidato,10.1914,SENIA MARILYN VILLANUEVA CARBAJAL,5
