cargo,id_ubicacion,clase_ubicacion,descripcion_ubicacion,cant_votos_positivos,cant_votos_negativos,porcentaje_participacion,porcentaje_mesas_procesadas,cant_votantes,hora_proceso,clase_candidatura,id_candidatura,descripcion_candidatura,cant_votos
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Lista,1,PARTIDO LIBERAL DE HONDURAS,16
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Lista,10,PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO,0
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Lista,11,PARTIDO NUEVA RUTA DE HONDURAS,0
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Lista,13,PARTIDO LIBERACION DEMOCRATICO DE HONDURAS,0
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Lista,14,PARTIDO TODOS SOMOS HONDURAS,1
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Lista,2,PARTIDO NACIONAL DE HONDURAS,28
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Lista,4,PARTIDO DEMOCRATA CRISTIANO DE HONDURAS,2
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Lista,45,MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA,0
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Lista,47,MILTON BENITEZ HONDURAS HUMANA,0
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Lista,5,PARTIDO UNIFICACION DEMOCRATICA,0
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Lista,58,UNIDAD NACIONAL OPOSITORA DE HONDURAS,1
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Lista,6,PARTIDO ANTICORRUPCION,0
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Lista,7,PARTIDO LIBERTAD Y REFUNDACION,104
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Lista,8,PARTIDO ALIANZA PATRIOTICA HONDUREÑA,2
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Lista,9,PARTIDO FRENTE AMPLIO (EL FRENTE),0
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Blanco,BLC,Voto en BLANCO,2
PRE,HN.5.1.1.156.4056_PRE,Mesa,4056_PRE,156,12,57.1428,100.0,168,2021-12-04 01:45:01,Especial,NUL,Votos NULOS,12
