"id_ubicacion","cant_votantes","cant_votos_positivos","cant_votos_negativos","porcentaje_participacion","id_candidatura","descripcion_candidatura","cant_votos"
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"1","PARTIDO LIBERAL DE HONDURAS",10
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"10","PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO",0
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"11","PARTIDO NUEVA RUTA DE HONDURAS",0
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"13","PARTIDO LIBERACION DEMOCRATICO DE HONDURAS",0
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"14","PARTIDO TODOS SOMOS HONDURAS",0
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"2","PARTIDO NACIONAL DE HONDURAS",44
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"4","PARTIDO DEMOCRATA CRISTIANO DE HONDURAS",0
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"45","MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA",0
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"47","MILTON BENITEZ HONDURAS HUMANA",0
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"5","PARTIDO UNIFICACION DEMOCRATICA",0
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"58","UNIDAD NACIONAL OPOSITORA DE HONDURAS",0
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"6","PARTIDO ANTICORRUPCION",0
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"7","PARTIDO LIBERTAD Y REFUNDACION",103
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"8","PARTIDO ALIANZA PATRIOTICA HONDUREÑA",0
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"9","PARTIDO FRENTE AMPLIO (EL FRENTE)",0
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"BLC","Voto en BLANCO",0
"HN.5.1.1.38.3620_PRE",169,157,12,56.5217,"NUL","Votos NULOS",12
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"1","PARTIDO LIBERAL DE HONDURAS",14
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"10","PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO",0
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"11","PARTIDO NUEVA RUTA DE HONDURAS",0
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"13","PARTIDO LIBERACION DEMOCRATICO DE HONDURAS",0
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"14","PARTIDO TODOS SOMOS HONDURAS",0
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"2","PARTIDO NACIONAL DE HONDURAS",61
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"4","PARTIDO DEMOCRATA CRISTIANO DE HONDURAS",0
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"45","MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA",0
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"47","MILTON BENITEZ HONDURAS HUMANA",1
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"5","PARTIDO UNIFICACION DEMOCRATICA",0
