JRV,PRESJRV
NA,NA
HN.5.1.1.38.3620_DIP,HN.5.1.1.38.3620
HN.5.1.1.38.3621_DIP,HN.5.1.1.38.3621
HN.5.1.1.38.3625_DIP,HN.5.1.1.38.3625
HN.5.1.1.38.3626_DIP,HN.5.1.1.38.3626
HN.5.1.1.38.3627_DIP,HN.5.1.1.38.3627
HN.5.1.1.38.3628_DIP,HN.5.1.1.38.3628
HN.5.1.1.38.3629_DIP,HN.5.1.1.38.3629
HN.5.1.1.254.4518_DIP,HN.5.1.1.254.4518
HN.5.1.1.254.4519_DIP,HN.5.1.1.254.4519
HN.5.1.1.254.4520_DIP,HN.5.1.1.254.4520
HN.5.1.1.254.4521_DIP,HN.5.1.1.254.4521
HN.5.1.1.254.4522_DIP,HN.5.1.1.254.4522
HN.5.1.1.254.4523_DIP,HN.5.1.1.254.4523
NA,NA
HN.5.1.1.254.4525_DIP,HN.5.1.1.254.4525
HN.5.1.1.254.4526_DIP,HN.5.1.1.254.4526
HN.5.1.1.254.4527_DIP,HN.5.1.1.254.4527
HN.5.1.1.254.4528_DIP,HN.5.1.1.254.4528
HN.5.1.1.254.4529_DIP,HN.5.1.1.254.4529
HN.5.1.1.254.4530_DIP,HN.5.1.1.254.4530
HN.5.1.1.254.4531_DIP,HN.5.1.1.254.4531
HN.5.1.1.254.4532_DIP,HN.5.1.1.254.4532
HN.5.1.1.254.4533_DIP,HN.5.1.1.254.4533
HN.5.1.1.254.4534_DIP,HN.5.1.1.254.4534
NA,NA
NA,NA
HN.5.1.1.254.4537_DIP,HN.5.1.1.254.4537
HN.5.1.1.254.4538_DIP,HN.5.1.1.254.4538
HN.5.1.1.254.4539_DIP,HN.5.1.1.254.4539
HN.5.1.1.254.4540_DIP,HN.5.1.1.254.4540
HN.5.1.1.254.4541_DIP,HN.5.1.1.254.4541
HN.5.1.1.254.4542_DIP,HN.5.1.1.254.4542
NA,NA
HN.5.1.1.254.4544_DIP,HN.5.1.1.254.4544
HN.5.1.1.254.4545_DIP,HN.5.1.1.254.4545
NA,NA
NA,NA
NA,NA
HN.5.1.1.296.4671_DIP,HN.5.1.1.296.4671
HN.5.1.1.296.4672_DIP,HN.5.1.1.296.4672
NA,NA
HN.5.1.1.67.3742_DIP,HN.5.1.1.67.3742
NA,NA
HN.5.1.1.67.3744_DIP,HN.5.1.1.67.3744
HN.5.1.1.67.3745_DIP,HN.5.1.1.67.3745
HN.5.1.1.67.3746_DIP,HN.5.1.1.67.3746
NA,NA
HN.5.1.1.67.3748_DIP,HN.5.1.1.67.3748
NA,NA
NA,NA
HN.5.1.1.67.3751_DIP,HN.5.1.1.67.3751
HN.5.1.1.67.3752_DIP,HN.5.1.1.67.3752
HN.5.1.1.67.3753_DIP,HN.5.1.1.67.3753
HN.5.1.1.67.3754_DIP,HN.5.1.1.67.3754
NA,NA
NA,NA
HN.5.1.1.67.3757_DIP,HN.5.1.1.67.3757
HN.5.1.1.67.3758_DIP,HN.5.1.1.67.3758
HN.5.1.1.67.3759_DIP,HN.5.1.1.67.3759
HN.5.1.1.67.3760_DIP,HN.5.1.1.67.3760
NA,NA
NA,NA
HN.5.1.1.67.3763_DIP,HN.5.1.1.67.3763
HN.5.1.1.67.3764_DIP,HN.5.1.1.67.3764
HN.5.1.1.67.3765_DIP,HN.5.1.1.67.3765
HN.5.1.1.67.3766_DIP,HN.5.1.1.67.3766
NA,NA
NA,NA
HN.5.1.1.67.3769_DIP,HN.5.1.1.67.3769
NA,NA
HN.5.1.1.145.4020_DIP,HN.5.1.1.145.4020
HN.5.1.1.145.4021_DIP,HN.5.1.1.145.4021
NA,NA
HN.5.1.1.145.4023_DIP,HN.5.1.1.145.4023
NA,NA
HN.5.1.1.145.4025_DIP,HN.5.1.1.145.4025
HN.5.1.1.145.4026_DIP,HN.5.1.1.145.4026
HN.5.1.1.145.4027_DIP,HN.5.1.1.145.4027
NA,NA
HN.5.1.1.145.4029_DIP,HN.5.1.1.145.4029
HN.5.1.1.144.3984_DIP,HN.5.1.1.144.3984
NA,NA
HN.5.1.1.144.3986_DIP,HN.5.1.1.144.3986
NA,NA
NA,NA
NA,NA
HN.5.1.1.144.3990_DIP,HN.5.1.1.144.3990
HN.5.1.1.144.3991_DIP,HN.5.1.1.144.3991
HN.5.1.1.144.3992_DIP,HN.5.1.1.144.3992
HN.5.1.1.144.3993_DIP,HN.5.1.1.144.3993
HN.5.1.1.144.3994_DIP,HN.5.1.1.144.3994
NA,NA
HN.5.1.1.144.3996_DIP,HN.5.1.1.144.3996
HN.5.1.1.144.3997_DIP,HN.5.1.1.144.3997
NA,NA
HN.5.1.1.144.3999_DIP,HN.5.1.1.144.3999
HN.5.1.1.144.4000_DIP,HN.5.1.1.144.4000
HN.5.1.1.144.4001_DIP,HN.5.1.1.144.4001
HN.5.1.1.144.4002_DIP,HN.5.1.1.144.4002
HN.5.1.1.144.4003_DIP,HN.5.1.1.144.4003
NA,NA
HN.5.1.1.144.4005_DIP,HN.5.1.1.144.4005
HN.5.1.1.144.4006_DIP,HN.5.1.1.144.4006
NA,NA
HN.5.1.1.144.4008_DIP,HN.5.1.1.144.4008
NA,NA
HN.5.1.1.144.4010_DIP,HN.5.1.1.144.4010
NA,NA
NA,NA
HN.5.1.1.144.4013_DIP,HN.5.1.1.144.4013
HN.5.1.1.144.4014_DIP,HN.5.1.1.144.4014
HN.5.1.1.144.4015_DIP,HN.5.1.1.144.4015
NA,NA
HN.5.1.1.144.4017_DIP,HN.5.1.1.144.4017
HN.5.1.1.144.4018_DIP,HN.5.1.1.144.4018
HN.5.1.1.150.4030_DIP,HN.5.1.1.150.4030
HN.5.1.1.150.4031_DIP,HN.5.1.1.150.4031
HN.5.1.1.150.4032_DIP,HN.5.1.1.150.4032
HN.5.1.1.150.4033_DIP,HN.5.1.1.150.4033
HN.5.1.1.150.4034_DIP,HN.5.1.1.150.4034
HN.5.1.1.150.4035_DIP,HN.5.1.1.150.4035
HN.5.1.1.150.4036_DIP,HN.5.1.1.150.4036
HN.5.1.1.150.4037_DIP,HN.5.1.1.150.4037
HN.5.1.1.150.4038_DIP,HN.5.1.1.150.4038
HN.5.1.1.150.4039_DIP,HN.5.1.1.150.4039
HN.5.1.1.150.4040_DIP,HN.5.1.1.150.4040
HN.5.1.1.150.4041_DIP,HN.5.1.1.150.4041
HN.5.1.1.150.4042_DIP,HN.5.1.1.150.4042
HN.5.1.1.150.4043_DIP,HN.5.1.1.150.4043
HN.5.1.1.150.4044_DIP,HN.5.1.1.150.4044
HN.5.1.1.150.4045_DIP,HN.5.1.1.150.4045
