"jrv","cant_votantes","Blancos","Nulos","papeletas_validas","max_pn","max_libre","max_plh","max_psh","PARTIDO NACIONAL DE HONDURAS","PARTIDO LIBERTAD Y REFUNDACION","PARTIDO LIBERAL DE HONDURAS","PSH","violacion"
"3494",177,13,12,152,52,123,51,74,79,79,13,30,"SI"
"3499",209,4,8,197,74,83,62,108,150,51,36,93,"SI"
"3525",193,3,17,173,56,87,47,84,24,60,75,72,"SI"
"3537",187,2,8,177,75,75,55,108,41,89,19,79,"SI"
"3543",178,4,9,165,62,71,53,95,72,37,18,73,"SI"
"3620",169,23,14,132,44,43,0,21,53,55,8,29,"SI"
"3678",164,6,4,154,57,101,32,53,60,80,12,35,"SI"
"3682",171,12,14,145,64,82,49,78,32,45,65,46,"SI"
"3730",169,6,9,154,42,85,37,61,77,69,17,44,"SI"
"3738",179,8,10,161,56,115,60,93,89,68,9,46,"SI"
"3812",187,2,6,179,72,81,54,97,93,42,25,78,"SI"
"3866",196,5,15,176,87,98,58,99,42,52,82,63,"SI"
"3925",170,11,13,146,43,112,41,52,13,120,14,24,"SI"
"3937",198,3,2,193,106,136,99,127,19,68,150,55,"SI"
"3961",185,8,9,168,53,95,47,79,20,65,76,52,"SI"
"3975",146,11,6,129,71,112,72,65,82,52,10,28,"SI"
"3983",154,13,34,107,55,83,59,66,24,43,10,74,"SI"
"4037",163,12,4,147,47,87,44,57,21,62,88,30,"SI"
"4053",161,13,12,136,51,86,41,49,25,64,72,24,"SI"
"4055",162,10,11,141,49,82,43,61,66,55,18,34,"SI"
"4087",158,10,3,145,56,85,35,58,30,64,77,39,"SI"
"4112",177,9,12,156,44,91,28,61,22,101,7,47,"SI"
"4134",178,4,3,171,66,118,54,88,93,92,16,66,"SI"
"4165",155,14,10,131,52,99,53,79,60,60,6,79,"SI"
"4169",191,20,10,161,46,96,38,62,21,74,12,86,"SI"
"4239",178,14,12,152,52,109,62,82,26,64,110,38,"SI"
"4242",170,14,12,144,65,97,42,51,33,67,5,73,"SI"
"4263",150,2,4,144,29,65,14,23,34,76,24,25,"SI"
"4291",179,4,19,156,66,84,28,51,42,64,14,52,"SI"
"4375",142,10,11,121,58,73,41,51,85,59,10,18,"SI"
"4381",166,1,4,161,63,100,42,56,86,84,9,26,"SI"
"4382",153,18,13,122,26,58,-10,-10,85,83,12,19,"SI"
"4392",138,12,29,97,63,77,59,69,75,35,4,19,"SI"
"4409",169,11,9,149,76,59,38,44,60,47,74,27,"SI"
"4557",184,7,8,169,56,95,43,67,80,77,14,46,"SI"
"4623",169,9,8,152,59,91,22,26,46,77,67,10,"SI"
"4650",150,4,10,136,78,88,56,60,32,46,10,70,"SI"
"4708",148,14,7,127,46,88,30,34,27,73,9,49,"SI"
"4713",164,19,0,145,40,105,21,32,21,90,8,75,"SI"
"4715",168,14,12,142,55,130,60,59,26,86,6,82,"SI"
"4719",216,15,7,194,54,130,38,57,31,111,13,78,"SI"
"4744",166,21,15,130,48,78,29,30,31,65,70,18,"SI"
"4766",159,24,8,127,54,86,36,39,29,69,9,72,"SI"
"4771",163,17,11,135,58,106,44,37,26,87,70,22,"SI"
"4775",152,16,4,132,52,82,33,37,37,62,70,18,"SI"
"4778",139,10,8,121,36,91,46,47,81,62,17,17,"SI"
"4781",159,19,1,139,107,98,98,104,19,70,17,115,"SI"
"4800",179,15,5,159,51,120,28,41,87,106,12,19,"SI"
"4801",166,16,6,144,67,90,40,35,47,95,14,15,"SI"
"4819",158,26,9,123,40,67,18,29,49,63,7,19,"SI"
"4841",176,2,3,171,59,99,46,66,28,104,13,41,"SI"
"4854",138,1,11,126,56,62,33,44,50,47,13,87,"SI"
